,,,,No. of cases,,
State,Year,Month,Etiologic agent,(n = 435),Source,Setting
,,,,,,
Alaska,2002,Feb,Pseudomonas aeruginosa*†,110,Pool/spa,Hotel/motel
Alaska,2002,Feb,P. aeruginosa§,3,Pool/spa,Hotel/motel
Colorado,2002,May,P. aeruginosa†,12,Pool/spa,Hotel/motel
Florida,2001,Mar,P. aeruginosa§,34,Pool,Hotel/motel
Florida,2001,Mar,P. aeruginosa†,53,Spa,Hotel/motel
Florida,2001,Apr,P. aeruginosa§,7,Spa,Apartment complex
Iowa,2002,Mar,P. aeruginosa§,24,Pool/spa,Hotel/motel
Maine,2001,Feb,P. aeruginosa§,21,Spa,Hotel/motel
Maryland,2001,Nov,P. aeruginosa§,8,Spa,Private residence
Maryland,2002,Feb,P. aeruginosa§,3,Spa,Membership club
Minnesota,2001,May,P. aeruginosa*†,6,Spa,Resort
Nebraska,2001,Mar,P. aeruginosa§,9,Pool/spa,Hotel/motel
Ohio,2002,Feb,P. aeruginosa†,18,Spa,Hotel/motel
Ohio,2002,Mar,P. aeruginosa*†,31,Pool/spa,Hotel/motel
Oregon,2002,Jul,Avian schistosomes§,19,Lake,Lake
Pennsylvania,2001,May,P. aeruginosa†,2,Spa,Hotel/motel
Pennsylvania,2001,May,P. aeruginosa§,42,Spa,Hotel/motel
Pennsylvania,2001,May,Bacillus species†,20,Spa,Hotel/motel
Pennsylvania,2001,Jun,Staphylococcus species§,3,Spa,Hotel/motel
Washington,2001,Aug,P. aeruginosa†,3,Spa,Hotel/motel
Wisconsin,2001,Nov,P. aeruginosa§,7,Spa,Hotel/motel